,file,page,nb_pages,path,commune,section,parcelle,authorized_area,forbidden_area,no_authorization_needed_area
55,data/doc/raw/2018/2018-11-12_RAA-2018-142.pdf,60,4,data/doc/pdfa/2018/2018-11-12_R02-2018-11-06-002.pdf,LES ANSES-D'ARLET,D,179,3.4241,1.9146,0
56,data/doc/raw/2018/2018-12-20_RAA-2018-158.pdf,25,3,data/doc/pdfa/2018/2018-12-20_R02-2018-12-11-003.pdf,LES ANSES-D'ARLET,N,1031,0.0,0.049100000000000005,0
57,data/doc/raw/2018/2018-12-20_RAA-2018-158.pdf,29,3,data/doc/pdfa/2018/2018-12-20_R02-2018-12-11-002.pdf,LE DIAMANT,B,170,1.6878000000000002,0.0,0
58,data/doc/raw/2018/2018-12-20_RAA-2018-158.pdf,33,3,data/doc/pdfa/2018/2018-12-20_R02-2018-12-11-004.pdf,LES TROIS-ÎLETS,C,2721,0.0,0.07160000000000001,0
59,data/doc/raw/2018/2018-11-05_RAA-2018-133.pdf,46,3,data/doc/pdfa/2018/2018-11-05_R02-2018-10-22-004.pdf,LES TROIS-ÎLETS,C,1597,0.1964,0.0,0
60,data/doc/raw/2018/2018-11-05_RAA-2018-133.pdf,50,3,data/doc/pdfa/2018/2018-11-05_R02-2018-10-22-005.pdf,CASE-PILOTE,E,617,0.1378,0.0,0
61,data/doc/raw/2018/2018-04-26_RAA-2018-052.pdf,19,3,data/doc/pdfa/2018/2018-04-26_R02-2018-04-13-008.pdf,SAINT-PIERRE,|,94,0.0,14.545,0
62,data/doc/raw/2018/2018-11-14_RAA-2018-143.pdf,13,3,data/doc/pdfa/2018/2018-11-14_R02-2018-11-12-001.pdf,RIVIÈRE-PILOTE,L,71,0.0,0.0,0
63,data/doc/raw/2018/2018-11-14_RAA-2018-143.pdf,17,3,data/doc/pdfa/2018/2018-11-14_R02-2018-11-12-002.pdf,LES ANSES-D'ARLET,D,93,0.0,3.7207999999999997,0
64,data/doc/raw/2018/2018-09-28_RAA-2018-122.pdf,21,2,data/doc/pdfa/2018/2018-09-28_R02-2018-09-21-002.pdf,FORT-DE-FRANCE,H,457,0.0217,0.0,0
65,data/doc/raw/2018/2018-10-02_RAA-2018-123.pdf,11,3,data/doc/pdfa/2018/2018-10-02_R02-2018-09-26-001.pdf,LES ANSES-D'ARLET,À,488,0.0119,0.0,0
66,data/doc/raw/2018/2018-10-02_RAA-2018-123.pdf,15,3,data/doc/pdfa/2018/2018-10-02_R02-2018-09-26-002.pdf,RIVIÈRE-PILOTE,T,351,0.0214,0.0,0
67,data/doc/raw/2020/2020-04-17_RAA-2020-079.pdf,9,3,data/doc/pdfa/2020/2020-04-17_R02-2020-04-15-001.pdf,LE LAMENTIN,Y,697,0.3261,0.8767,0
68,data/doc/raw/2020/2020-04-17_RAA-2020-079.pdf,13,3,data/doc/pdfa/2020/2020-04-17_R02-2020-04-15-002.pdf,MARIN,C,"1797, 1798",0.0751,0.1634,0
69,data/doc/raw/2020/2020-04-17_RAA-2020-079.pdf,17,3,data/doc/pdfa/2020/2020-04-17_R02-2020-04-15-003.pdf,FORT-DE-FRANCE,L,610,0.0,0.53,0
70,data/doc/raw/2020/2020-07-01_RAA-2020-140.pdf,3,3,data/doc/pdfa/2020/2020-07-01_R02-2020-06-29-005.pdf,Anses d'Arlet,B,244,0.08,0.0,0
